permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,filed_date,issued_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,revised_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,supervisor_district,last_permit_activity_date,neighborhoods_analysis_boundaries,zipcode,application_submission_method,location/type,location/coordinates/0,location/coordinates/1,adu,record_id,primary_address_flag,point_source,data_as_of,data_loaded_at,unit,fire_only_permit,structural_notification,unit_suffix,street_number_suffix,completed_date,site_permit
202309076041,8,otc alterations permit,2023-09-07T00:00:00.000,0287,019,453,Bush,St,to comply with abe program ord 51-16. abe #202308318473. new power door equipment and new ada signage,filed,2023-09-07T07:55:37.000,2023-09-07T07:55:37.000,,1,1,2500,3500,food/beverage hndlng,0,food/beverage hndlng,0,2,B,B,3,constr type 3,3,constr type 3,3,2023-09-07T11:51:35.000,Financial District/South Beach,94108,in-house,Point,-122.405025309,37.790452395,N,167769367016,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076086,8,otc alterations permit,2023-09-07T00:00:00.000,3279,001,75,Fairfield,Wy,new stucco entire building in kind,issued,2023-09-07T13:54:29.000,2023-09-07T11:27:13.000,2023-09-07T13:54:29.000,2,2,12000,30720,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T13:49:28.000,West of Twin Peaks,94127,in-house,Point,-122.463819301,37.727823821,N,1677740155781,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076039,8,otc alterations permit,2023-09-07T00:00:00.000,0235,022,50,California,St,voluntary elevator modernizatyion per sffd letter. remove 23 existing fire sprinklers in elevator pits only. no other work to system.,issued,2023-09-07T08:14:42.000,2023-09-07T07:51:59.000,2023-09-07T08:14:42.000,38,38,5000,5000,office,,office,,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-07T08:09:54.000,Financial District/South Beach,94111,in-house,Point,-122.397347692,37.794053198,N,167769163364,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076085,8,otc alterations permit,2023-09-07T00:00:00.000,2429,006,2531,28th,Av,"revision to pa# 202102235175, structural revision to foundation to rear.",issued,2023-09-07T14:03:13.000,2023-09-07T11:24:51.000,2023-09-07T14:03:13.000,2,2,8000,8000,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),4,2023-09-07T13:57:33.000,Sunset/Parkside,94116,in-house,Point,-122.485489431,37.740126221,N,1677739135669,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076034,8,otc alterations permit,2023-09-07T00:00:00.000,0207,032,600,Montgomery,St,"1st fl - fire only work for the main lobby remodel. additions 6 smoke detectors, 2 duct detectors, 5 modules, 12 speaker/strobes, 2 strobes and a strobe power supply. ref pa 2021-1004-9753",issued,2023-09-07T08:36:53.000,2023-09-07T07:39:55.000,2023-09-07T08:36:53.000,50,50,31630,31630,office,0,office,0,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-07T08:31:32.000,Chinatown,94111,in-house,Point,-122.40273227,37.795156562,N,1677684296199,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,Y,,,,,
202309076106,8,otc alterations permit,2023-09-07T00:00:00.000,0247C,075,1200,California,St,unit 23b: paint and door trim. electrical like to like new receptacles. plumbing new faucet.,issued,2023-09-07T14:14:14.000,2023-09-07T12:41:13.000,2023-09-07T14:14:14.000,23,23,8000,8000,apartments,92,apartments,92,0,R-2,R-2,1,constr type 1,1,constr type 1,3,2023-09-07T14:04:24.000,Nob Hill,94109,in-house,Point,-122.414524122,37.791671635,N,1677761433099,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,23,,,B,,,
202309076120,8,otc alterations permit,2023-09-07T00:00:00.000,8709,017,1450,Owens,St,revision to fa permit# 202012281760 s7. submittal smoke control panel drawing showing the reconfiguration of the ahus depiction.,filed,2023-09-07T13:59:47.000,2023-09-07T13:59:47.000,,,7,1,0,,,office,,2,,B,,,1,constr type 1,6,2023-09-07T14:01:39.000,Mission Bay,94158,in-house,Point,-122.396445266,37.769216429,N,1677776511760,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076117,8,otc alterations permit,2023-09-07T00:00:00.000,0240,007,580,California,St,22/f: interior demo of existing office partitions. no exterior work to be done.,filed,2023-09-07T13:53:10.000,2023-09-07T13:53:10.000,,23,23,100000,100000,office,,office,,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-07T14:25:39.000,Financial District/South Beach,94104,in-house,Point,-122.404139573,37.792967593,N,1677773296596,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309076045,8,otc alterations permit,2023-09-07T00:00:00.000,3803,005,185,Berry,St,relocate 23 pendent sprinklers on the ground level suite 1800. ti ref 202306069337. no under ground work.,issued,2023-09-07T12:14:31.000,2023-09-07T08:11:07.000,2023-09-07T12:14:31.000,6,6,14375,14375,office,0,office,0,2,"B,M","B,M",1,constr type 1,1,constr type 1,6,2023-09-07T12:05:23.000,Mission Bay,94158,in-house,Point,-122.39179681,37.776327159,N,1677698348598,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076139,8,otc alterations permit,2023-09-07T00:00:00.000,0175,029,755,Sansome,St,altered lighting system. new power and data for workstations. new power for breakroom equipment. new lighting and controls.,filed,2023-09-07T15:54:08.000,2023-09-07T15:54:08.000,,5,5,1,0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-07T15:58:10.000,Chinatown,94133,in-house,Point,-122.402357394,37.79729866,N,167780061588,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076075,8,otc alterations permit,2023-09-07T00:00:00.000,5662,017A,737,Cortland,Av,barrier remediation as identified on plans per abe checklist compliance form. equivalent faciliation (if any) work as show on plans. abe# 201807201696,filed,2023-09-07T10:37:26.000,2023-09-07T10:37:26.000,,2,2,2500,0,food/beverage hndlng,3,food/beverage hndlng,3,2,"B,R-2","B,R-2",5,wood frame (5),5,wood frame (5),9,2023-09-07T10:51:16.000,Bernal Heights,94110,in-house,Point,-122.414911495,37.739058917,N,1677728287872,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076061,8,otc alterations permit,2023-09-07T00:00:00.000,0318,021,639,Geary,St,vehicle and pedestrian gate at front (geary st),filed,2023-09-07T09:13:42.000,2023-09-07T09:13:42.000,,14,14,48000,0,apartments,164,apartments,164,2,R-2,R-2,1,constr type 1,1,constr type 1,5,2023-09-07T09:27:48.000,Tenderloin,94102,in-house,Point,-122.413824639,37.786359634,N,167771569429,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076070,3,additions alterations or repairs,2023-09-07T00:00:00.000,8721,011,550,Terry A Francois,Bl,"fl6: change of occ to l. this proj consist of int built-out on 6th fl of (e) 6-story bldg to create tenant ste w/ office and lab. scope incl new int partitions, doors, windows, ceiling, casework, flooring, and finishes w/ associated mep.",filed,2023-09-07T10:10:36.000,2023-09-07T10:10:36.000,,6,6,13875000,,office,,office,,1,"B,A-2","B,A-2,L",1,constr type 1,1,constr type 1,6,2023-09-07T10:15:32.000,Mission Bay,94158,in-house,Point,-122.386979776,37.76943352,N,1677723509951,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076130,8,otc alterations permit,2023-09-07T00:00:00.000,0986,010,3560,Washington,St,"replace in-kind stone patio over garage, the work includes the removal of (e) slate and waterproofing, and the replacement of waterproof membrane and slate to match (e)",issued,2023-09-07T15:38:35.000,2023-09-07T14:44:17.000,2023-09-07T15:38:35.000,3,3,25000,25000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2,2023-09-07T15:34:58.000,Presidio Heights,94118,in-house,Point,-122.451760242,37.78964998,N,167779286124,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076083,8,otc alterations permit,2023-09-07T00:00:00.000,2989B,013,1476,Portola,Dr,revision to permit 202208090182. change deck to cantilever deck.,issued,2023-09-07T13:16:35.000,2023-09-07T11:21:37.000,2023-09-07T13:16:35.000,3,3,3800,18000,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T13:09:47.000,West of Twin Peaks,94127,in-house,Point,-122.468026123,37.738033841,N,1677737149103,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076060,8,otc alterations permit,2023-09-07T00:00:00.000,0314,004,170,Ofarrell,St,"11/f: add 3 smoke detectors and replace 6 heat detectors in the elevator machine room on flr 11; no change to existing elevator recall/shunt trip functions, no ref pa#.",issued,2023-09-07T09:35:06.000,2023-09-07T09:00:40.000,2023-09-07T09:35:06.000,11,11,6480,6484,retail sales,,retail sales,,2,"M,B,A-2","M,B,A-2",1,constr type 1,1,constr type 1,3,2023-09-07T09:30:33.000,Financial District/South Beach,94102,in-house,Point,-122.407363458,37.786795914,N,167771469348,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076107,8,otc alterations permit,2023-09-07T00:00:00.000,1204,066,541,Divisadero,St,in-kind siding replacement in back of the house.,issued,2023-09-07T14:13:48.000,2023-09-07T12:43:20.000,2023-09-07T14:13:48.000,3,3,12000,12000,2 family dwelling,2,2 family dwelling,2,0,"R-3,M,B","R-3,M,B",5,wood frame (5),5,wood frame (5),5,2023-09-07T14:08:53.000,Hayes Valley,94117,in-house,Point,-122.438040282,37.7745524,N,1677762493154,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076048,8,otc alterations permit,2023-09-07T00:00:00.000,3513,083,135,Valencia,St,revision to 202305177957 change top graphic annunciator layout,issued,2023-09-07T08:57:43.000,2023-09-07T08:21:12.000,2023-09-07T08:57:43.000,4,4,1,1,apartments,35,apartments,35,2,"B,M,R-2","B,M,R-2",5,wood frame (5),5,wood frame (5),6,2023-09-07T08:52:54.000,Mission,94103,in-house,Point,-122.42205937,37.771152028,N,1677701289181,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,101,Y,,A,,,
202309076131,8,otc alterations permit,2023-09-07T00:00:00.000,4881,026,5945,03rd,St,tenant improvement: new counseling room at ground floor. new doors adn interior windows at (e) second floor counseling rooms - no structural work.,filed,2023-09-07T14:45:45.000,2023-09-07T14:45:45.000,,2,2,26700,26700,office,,office,,2,"B,S-2","B,S-2",3,constr type 3,3,constr type 3,10,2023-09-07T15:38:27.000,Bayview Hunters Point,94124,in-house,Point,-122.39436172,37.724183568,N,1677789175769,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,C,,,
202309076038,8,otc alterations permit,2023-09-07T00:00:00.000,4991,643,107,Seal Cove,Tr,"maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same in kind of existing. not street visible.",issued,2023-09-07T08:47:16.000,2023-09-07T07:47:10.000,2023-09-07T08:47:16.000,3,3,35000,35000,apartments,4,apartments,4,0,R-2,R-2,3,constr type 3,3,constr type 3,10,2023-09-07T08:39:16.000,Bayview Hunters Point,94134,in-house,Point,-122.394721408,37.711804727,N,1677690482829,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309076111,8,otc alterations permit,2023-09-07T00:00:00.000,0664,020,1863,Pine,St,to comply with boa's decision no. 22-075. ref to pa# 202206065684: show party wall as part of scope of work & add sheets a-111 & a-112,issued,2023-09-07T14:04:00.000,2023-09-07T12:57:16.000,2023-09-07T14:04:00.000,3,3,1,1,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),5,2023-09-07T13:59:15.000,Pacific Heights,94109,in-house,Point,-122.426453676,37.78868005,N,167776678257,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076050,8,otc alterations permit,2023-09-07T00:00:00.000,1368,032,156,09th,Av,"upgrade existing fire alarm system by replacing it with 1-addressible fire alarm unit 1-wireless communicator next to facu 9- addressible smoke detectors, 4-addressible manul pull station, 7-horn strobes, 30-low frequency horns at all residential sleeping areas to comple w/sffc section 1103.7.6.1",issued,2023-09-07T09:04:25.000,2023-09-07T08:29:07.000,2023-09-07T09:04:25.000,3,3,19000,47600,apartments,15,apartments,15,2,R-2,R-2,5,wood frame (5),5,wood frame (5),1,2023-09-07T08:58:59.000,Inner Richmond,94118,in-house,Point,-122.467491482,37.785474002,N,1677703241837,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076069,8,otc alterations permit,2023-09-07T00:00:00.000,7508,004,132,Turquoise,Wy,roof replacement with pv gutters and down spouts. reroof,issued,2023-09-07T11:25:58.000,2023-09-07T10:06:41.000,2023-09-07T11:25:58.000,2,2,32000,32000,1 family dwelling,1,,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),8,2023-09-07T11:23:36.000,Glen Park,94131,in-house,Point,-122.44292618,37.743598073,N,1677722226643,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076065,8,otc alterations permit,2023-09-07T00:00:00.000,3615,080,670,Capp,St,"unit 670 capp st. remodel (e) bathroom, kitchen, laudnry and replace (e) water heater.",filed,2023-09-07T09:48:55.000,2023-09-07T09:48:55.000,,3,3,45000,84200,apartments,4,apartments,4,2,R-2,R-2,5,wood frame (5),5,wood frame (5),9,2023-09-07T13:19:17.000,Mission,94110,in-house,Point,-122.417956069,37.756032658,N,1677719465550,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076091,8,otc alterations permit,2023-09-07T00:00:00.000,4283B,083,86,Blair,Tr,reroofing,issued,2023-09-07T11:58:35.000,2023-09-07T11:33:42.000,2023-09-07T11:58:35.000,2,2,13000,13000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),10,2023-09-07T11:54:43.000,Potrero Hill,94107,in-house,Point,-122.399975392,37.751382388,N,1677745173310,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
